Account Name,Hero Ad,Version,Creator Name,Min Date,Max Date,Spend,Impressions,Installs,Post Engagement,Video Views,Purchases,CTR (%),CPC ($),CPI ($),Installs Per Mile,CPA ($),Purchase Per Mile,3sec Video View Rate (%),25% Video View Rate (%),50% Video View Rate (%),75% Video View Rate (%),100% Video View Rate (%),Install Rate (%),Subs Rate (%),revenue,ROAS
Facetune2 Android,VanishHairStyles,Model,manuel,3/1/2023,6/24/2024,"$1,049.86","56,070",192,"16,083","15,661",34,0.70%,$2.67,$5.5,342.43%,$30.88,60.64%,27.90%,24.80%,15.30%,11.60%,9.10%,48.90%,17.70%,$11.68,1.11%
Facetune2 iOS,AISelfiesV2,NDMadalynMDD6,manuel,3/1/2023,6/24/2024,"$12,221.75","5,884,181","4,369","827,340","802,314",396,0.30%,$0.68,$2.8,74.25%,$30.86,6.73%,13.60%,9.50%,5.30%,3.20%,1.40%,24.40%,9.10%,,
Facetune2 iOS,Podcast,redhead,manuel,3/1/2023,6/24/2024,$136.05,"20,550",12,"4,457","4,368",3,0.36%,$1.81,$11.3,58.39%,$45.35,14.60%,21.30%,6.90%,3.70%,1.60%,0.70%,16.00%,25.00%,,
Facetune2 iOS,AISelfieV3,Madalyn,manuel,3/1/2023,6/24/2024,$7.77,853,,147,142,,0.35%,$2.59,,,,,16.60%,13.60%,7.20%,4.70%,3.00%,,,,
Photoleap - Web,TattooWithoutTheCommitment,Backofawoman,manuel,3/1/2023,6/24/2024,"$3,654.59","107,554",,"36,828","35,347",70,1.19%,$2.86,,,$52.21,65.08%,32.90%,13.10%,9.40%,5.30%,1.80%,,,,
Photoleap - Web,TattooWithoutTheCommitment,Hand,manuel,3/1/2023,6/24/2024,$136.88,"7,506",,"1,410","1,353",2,0.73%,$2.49,,,$68.44,26.65%,18.00%,11.60%,5.70%,3.50%,1.10%,,,,
Photoleap - Web,OnePiece,Manu,manuel,3/1/2023,6/24/2024,$445.28,"63,366",,"14,676","14,021",6,0.99%,$0.71,,,$74.21,9.47%,22.10%,17.00%,6.10%,2.40%,1.20%,,,,
Photoleap - Web,thuglife,Woman,manuel,3/1/2023,6/24/2024,$109.79,"16,313",4,"3,107","3,002",4,0.51%,$1.31,$27.4,24.52%,$27.45,24.52%,18.40%,13.10%,4.10%,2.10%,0.80%,4.80%,100.00%,,
Photoleap - Web,Uncrop,funny,manuel,3/1/2023,6/24/2024,$24.21,"2,957",2,379,370,2,0.27%,$3.03,$12.1,67.64%,$12.11,67.64%,12.50%,9.40%,4.10%,3.00%,1.10%,25.00%,100.00%,$28.00,115.65%
Photoleap - Web,SitcomSanta,RedStandardEnding,manuel,3/1/2023,6/24/2024,$11.27,"1,840",,349,344,,0.27%,$2.25,,,,,18.70%,9.60%,7.60%,5.40%,0.60%,,,,
